PLAYER_NAME,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,TIME_REMAINING_SEC,EXPECTED_FG
Mikal Bridges,New York Knicks,2,0,48,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),4,40,15,1,48,0.5706769518502834
Josh Hart,New York Knicks,2,0,33,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-7,18,1,33,0.6018933032575156
Norman Powell,Miami Heat,2,0,21,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-6,8,1,21,0.6020520286634221
Josh Hart,New York Knicks,2,0,0,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),6,-12,67,1,0,0.544417933662655
Norman Powell,Miami Heat,3,11,40,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),23,232,41,1,700,0.38178117056669636
Karl-Anthony Towns,New York Knicks,3,11,24,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),4,-1,47,0,684,0.585996407084477
Andrew Wiggins,Miami Heat,3,11,15,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,-7,7,1,675,0.6297156350247831
Mikal Bridges,New York Knicks,3,11,1,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,229,32,1,661,0.38102975554817214
Andrew Wiggins,Miami Heat,3,10,52,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),17,88,153,1,652,0.43753255607459274
Miles McBride,New York Knicks,3,10,33,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),18,-81,163,1,633,0.42517429247693567
Karl-Anthony Towns,New York Knicks,3,10,12,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),25,20,258,0,612,0.34696756087942376
Andrew Wiggins,Miami Heat,3,10,3,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),3,-6,39,0,603,0.5944502175771657
Landry Shamet,New York Knicks,3,9,42,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),23,230,36,1,582,0.3783510862642397
Landry Shamet,New York Knicks,3,9,13,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),1,-10,10,1,553,0.6154179608364814
Norman Powell,Miami Heat,3,8,57,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),7,-27,75,0,537,0.5472372006967524
Karl-Anthony Towns,New York Knicks,3,8,49,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,-56,262,0,529,0.33425245483976973
Landry Shamet,New York Knicks,3,8,26,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,20,8,1,506,0.6036490552279965
Pelle Larsson,Miami Heat,3,8,13,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),22,224,-4,1,493,0.38805737906016824
Mikal Bridges,New York Knicks,3,7,55,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,105,246,0,475,0.33380930221084776
Norman Powell,Miami Heat,3,7,32,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-12,0,0,452,0.6127687049477881
Mikal Bridges,New York Knicks,3,7,27,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-114,219,0,447,0.35368113965409553
