PLAYER_NAME,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
Jaylen Wells,Memphis Grizzlies,1,3,7,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),10,-104,30,0
Jock Landale,Memphis Grizzlies,1,2,45,Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,5,0,1
Jalen Brunson,New York Knicks,1,2,27,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,98,241,0
Santi Aldama,Memphis Grizzlies,1,2,15,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,4,8,1
OG Anunoby,New York Knicks,1,1,59,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,-2,0,1
Cedric Coward,Memphis Grizzlies,1,1,41,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-109,225,0
OG Anunoby,New York Knicks,1,1,30,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),26,20,267,0
Miles McBride,New York Knicks,1,1,17,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,20,262,1
OG Anunoby,New York Knicks,1,0,57,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,-1,0,1
Ja Morant,Memphis Grizzlies,1,0,34,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),26,-11,260,0
Josh Hart,New York Knicks,1,0,28,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,0,2,1
Jalen Brunson,New York Knicks,1,0,0,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),5,-53,28,1
Mikal Bridges,New York Knicks,2,11,45,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),13,45,127,0
